n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
2200,1,2220260705,110,8,34.12553880014457,11.395485900109634,2.9946541199981875,1.9983215082675088e-10,1.9983215082675088e-10,True,1.9984014443252818e-14,0.0,3,218,114446
2200,2,2220260706,110,8,35.53395850001834,12.281966699985787,2.893181472317415,4.93078133878555e-10,4.93078133878555e-10,True,4.6629367034256575e-15,0.0,3,229,129287
2200,3,2220260707,110,8,34.14293379988521,15.574448600178584,2.1922402953959934,1.5799723751541705e-09,1.5799723751541705e-09,True,0.0,0.0,3,235,179390
2200,4,2220260708,110,8,31.91213299985975,14.824699299875647,2.1526327350280514,6.553018683241874e-10,6.553018683241874e-10,True,0.0,0.0,3,230,179601
2200,5,2220260709,110,8,41.969713900005445,7.679167099995539,5.465399222791991,1.4352760091540517e-09,1.4352760091540517e-09,True,1.9872992140790302e-14,0.0,3,162,67301
2200,6,2220260710,110,8,35.710953700123355,13.53469379991293,2.6384751829666873,9.700623637698413e-10,9.700623637698413e-10,True,2.220446049250313e-16,0.0,3,194,133814
2200,7,2220260711,110,8,34.458605400053784,11.8128647999838,2.9170405302616382,5.398584357330094e-10,5.398584357330094e-10,True,0.0,0.0,3,211,130545
2200,8,2220260712,110,8,32.514041299931705,15.967602699995041,2.036250645185567,2.1979437714314543e-10,2.1979437714314543e-10,True,0.0,0.0,3,237,210770
2200,9,2220260713,110,8,33.24300680006854,14.546289300080389,2.2853255640862873,8.031024179011581e-10,8.031024179011581e-10,True,0.0,0.0,3,237,177778
3200,0,3220260704,160,8,71.70647860015742,15.498499999986961,4.6266721682883984,3.5203540083017515e-09,3.5203540083017515e-09,True,1.0325074129013956e-14,0.0,3,170,169786
3200,1,3220260705,160,8,67.0298097000923,11.436454799957573,5.861065415161783,1.5675289954941718e-09,1.5675289954941718e-09,True,1.1324274851176597e-14,0.0,3,150,115413
